,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
12128,2832100270,20150507T000000,306888.0,4,1.5,1940,8970,1.5,0,0,3,7,1270,670,1980,0,98125,47.7297,-122.326,1960,8470
2258,1561910270,20150317T000000,372400.0,3,2.5,2720,11937,2.0,0,0,3,9,2720,0,1990,0,98031,47.4185,-122.212,2590,9683
7778,3028200100,20140826T000000,216000.0,2,1.0,860,9000,1.0,0,0,4,6,860,0,1942,0,98168,47.4801,-122.315,990,9975
18054,323089172,20140718T000000,410000.0,4,2.5,1900,15123,2.0,0,0,3,8,1900,0,1995,0,98045,47.5015,-121.772,1900,16477
506,2769600560,20140527T000000,529000.0,3,1.0,1210,3328,1.5,0,0,4,7,1210,0,1924,0,98107,47.6729,-122.363,1640,3333
19281,1564000410,20150218T000000,781500.0,4,2.5,3440,6332,2.0,0,0,3,10,3440,0,2001,0,98059,47.5347,-122.155,3310,6528
17094,4099500605,20150417T000000,840000.0,4,2.5,2360,9600,1.0,0,2,3,8,1630,730,1973,0,98040,47.5889,-122.249,2140,6300
13308,3451000206,20141016T000000,340000.0,3,1.75,2140,13260,1.0,0,0,3,7,1240,900,1948,0,98146,47.5074,-122.353,1640,13260
12709,3727800065,20141113T000000,425000.0,2,1.0,790,5024,1.0,0,0,4,7,790,0,1941,0,98117,47.6833,-122.395,1330,5024
11785,7227801580,20140917T000000,232000.0,4,2.0,1440,5911,1.0,0,0,5,5,1440,0,1943,0,98056,47.5072,-122.181,1500,11089
14986,8691510170,20150204T000000,368750.0,3,2.5,2230,5717,2.0,0,0,3,7,2230,0,2004,0,98058,47.4388,-122.117,2230,5194
5887,7818700480,20150409T000000,314200.0,1,1.0,610,6000,1.0,0,0,4,5,610,0,1918,0,98117,47.6911,-122.367,970,5000
18948,3982700088,20150402T000000,910000.0,3,2.5,2720,7250,2.0,0,0,3,9,2720,0,1990,0,98033,47.6894,-122.195,2870,7250
6982,824059265,20141001T000000,1155000.0,3,1.75,1640,10464,1.0,0,2,4,8,1640,0,1968,0,98004,47.5873,-122.205,2630,18872
10467,4221970060,20150506T000000,359000.0,4,2.5,2640,7883,2.0,0,0,3,8,2640,0,1990,0,98092,47.3124,-122.188,2150,7683
13775,9283800230,20140625T000000,531500.0,4,2.75,3110,49765,1.0,0,0,4,8,3110,0,1958,1972,98010,47.3343,-122.044,1880,19709
20772,1972200428,20140625T000000,563500.0,3,2.5,1400,1312,3.5,0,0,3,8,1400,0,2007,0,98103,47.6534,-122.355,1350,1312
7150,9407001700,20140819T000000,255000.0,2,1.0,960,20954,1.0,0,0,3,7,960,0,1977,0,98045,47.4485,-121.774,1240,9752
7138,6713700250,20140604T000000,500000.0,5,3.0,2920,11440,2.0,0,0,3,8,2920,0,2003,0,98133,47.7607,-122.354,1720,9348
18228,40001065,20140529T000000,250000.0,2,1.0,1110,26051,1.0,0,0,3,6,1110,0,1951,0,98168,47.4711,-122.291,2240,12255
2245,1529300160,20140619T000000,405000.0,2,1.0,1260,4377,1.0,0,0,4,7,1260,0,1947,0,98103,47.6988,-122.354,1420,6376
15554,7893800250,20150430T000000,348000.0,3,2.5,2370,7500,1.0,0,3,3,8,1620,750,1979,0,98198,47.4091,-122.331,1960,8062
16300,687600010,20140805T000000,753000.0,4,1.75,2160,39430,1.0,0,0,4,8,1660,500,1974,0,98005,47.6378,-122.185,2430,35329
17051,7606200275,20141230T000000,190000.0,3,1.5,760,40039,1.0,0,0,3,6,760,0,1906,0,98065,47.5295,-121.829,980,6000
7272,925059193,20140709T000000,1065000.0,4,3.75,4260,9800,2.0,0,0,3,10,4260,0,2008,0,98033,47.6739,-122.172,1950,8970
1957,8849300160,20150205T000000,345000.0,4,2.5,2280,8190,1.0,0,3,3,7,1390,890,1983,0,98188,47.4414,-122.272,1990,9000
986,2571910160,20141001T000000,283000.0,4,2.75,2130,8560,1.0,0,0,3,7,1560,570,1992,0,98022,47.1949,-122.01,2130,8560
1203,1231000510,20150504T000000,510000.0,3,1.75,1490,3800,1.0,0,0,3,6,700,790,1913,0,98118,47.5554,-122.27,2180,4000
2288,3205100060,20150413T000000,517100.0,3,1.75,1580,9719,1.0,0,0,5,7,1580,0,1962,0,98056,47.5396,-122.18,1760,8539
9379,1624079057,20140717T000000,430000.0,4,1.0,1620,37075,1.5,0,0,3,7,1620,0,1943,0,98024,47.5654,-121.929,2190,87117
4819,8820902905,20140822T000000,375000.0,3,1.5,1240,7733,1.0,0,0,3,6,790,450,1941,0,98125,47.714,-122.283,1130,7733
19067,3782760040,20140603T000000,402500.0,3,3.25,2780,4002,2.0,0,0,3,8,2780,0,2009,0,98019,47.7348,-121.966,1890,4090
3677,7225000090,20141017T000000,245000.0,2,2.0,1070,4500,1.0,0,0,4,6,910,160,1932,0,98055,47.4896,-122.204,1280,4500
12453,4022900951,20150402T000000,305000.0,2,1.0,910,22725,1.0,0,0,1,6,910,0,1926,0,98155,47.7712,-122.299,2000,14566
3484,925069111,20150507T000000,568000.0,3,1.75,1760,235224,1.0,0,0,3,7,1760,0,1973,0,98053,47.6735,-122.041,2320,87120
11989,1066100260,20140620T000000,681500.0,5,2.75,3260,11700,1.0,0,0,3,8,1630,1630,1964,0,98008,47.6169,-122.104,2860,11700
11210,4402700125,20140716T000000,382000.0,3,1.75,1790,7679,1.0,0,0,4,7,1790,0,1953,0,98133,47.7442,-122.338,1560,7680
20468,8691440410,20141215T000000,900000.0,4,3.5,3860,6543,2.0,0,0,3,10,3860,0,2014,0,98075,47.5934,-121.974,3760,6888
13601,8698600395,20150324T000000,150000.0,2,1.0,1250,5208,1.0,0,0,3,7,1050,200,1951,0,98002,47.3063,-122.219,1030,5354
4071,1221059112,20141116T000000,324888.0,4,1.75,2160,28750,2.0,0,0,4,8,2160,0,1978,0,98092,47.3212,-122.118,1790,53578
6534,8645530010,20150325T000000,295000.0,3,2.0,1400,7384,1.0,0,0,3,7,1150,250,1979,0,98058,47.4655,-122.174,1820,7992
3155,3362400590,20150219T000000,700000.0,4,2.0,2230,4635,1.5,0,0,5,7,1510,720,1908,0,98103,47.682,-122.349,1520,4635
2150,7524950830,20140527T000000,585000.0,3,1.75,1850,7735,1.0,0,0,4,8,1850,0,1983,0,98027,47.5608,-122.082,2220,7639
3304,844001140,20141028T000000,206000.0,3,1.0,1050,5233,1.0,0,0,5,5,1050,0,1906,0,98010,47.3106,-121.999,970,7500
14944,7856700920,20140628T000000,699900.0,4,2.5,2190,11500,1.0,0,0,4,8,1430,760,1972,0,98006,47.5668,-122.147,2580,9700
12154,976000879,20150424T000000,700000.0,4,2.0,1930,5398,1.0,0,0,3,7,1430,500,1953,0,98119,47.646,-122.363,1910,4902
18035,8856970530,20141208T000000,326995.0,3,2.5,1860,5321,2.0,0,0,3,7,1860,0,2000,0,98038,47.3848,-122.033,1940,5205
14013,1336800880,20140822T000000,1400000.0,4,2.25,3780,5160,2.0,0,0,4,9,2510,1270,1907,0,98112,47.6275,-122.308,2740,5160
13591,686550040,20140619T000000,1240000.0,4,3.5,3820,13224,2.0,0,0,3,10,3280,540,1990,0,98004,47.6005,-122.199,3340,9700
15011,9541800190,20141010T000000,915000.0,5,2.5,3490,18850,1.0,0,4,4,9,1840,1650,1958,0,98005,47.5955,-122.176,2690,11625
2591,2558640340,20140527T000000,375000.0,3,1.75,1440,8775,1.0,0,0,3,7,1440,0,1973,0,98034,47.7231,-122.17,1790,7865
10136,1862400226,20150311T000000,505000.0,2,1.0,1070,8130,1.0,0,0,3,7,1070,0,1942,0,98117,47.697,-122.37,1360,7653
20706,8562780800,20141016T000000,305000.0,2,1.75,1120,758,2.0,0,0,3,7,1120,0,2012,0,98027,47.5325,-122.072,1150,758
18800,4037000925,20150327T000000,650000.0,5,2.25,2400,13450,1.0,0,0,5,7,1200,1200,1957,0,98008,47.6007,-122.117,1950,10361
21456,3362401761,20150225T000000,450000.0,2,1.5,1020,1049,3.0,0,0,3,8,1020,0,2008,0,98103,47.68,-122.348,1350,1395
5620,9834200950,20140616T000000,385000.0,4,1.75,1690,4080,1.0,0,0,4,7,870,820,1984,0,98144,47.572,-122.289,1320,4080
20460,9808100150,20150402T000000,3345000.0,5,3.75,5350,15360,1.0,0,1,3,11,3040,2310,2008,0,98004,47.648,-122.218,3740,15940
21343,2924079034,20140925T000000,332220.0,3,1.5,2580,47480,1.0,0,0,3,7,1360,1220,1953,0,98024,47.5333,-121.933,1760,48181
6167,1924079091,20150113T000000,460000.0,4,2.0,1960,190357,1.0,0,3,2,8,1960,0,1971,0,98027,47.5538,-121.958,2560,189100
6642,7503000020,20140507T000000,415000.0,4,3.0,1830,9548,2.0,0,0,3,7,1830,0,1991,0,98028,47.7379,-122.224,1740,9750
11712,6821101275,20140821T000000,478000.0,2,1.75,1960,6000,1.0,0,0,4,7,980,980,1904,0,98199,47.6531,-122.401,1650,6000
1511,1328330350,20150213T000000,390000.0,3,1.75,1320,7725,1.0,0,0,3,8,1320,0,1978,0,98058,47.4425,-122.133,2020,7210
16258,1652500010,20150326T000000,2328000.0,4,3.5,4420,20759,2.0,0,0,3,11,4420,0,2003,0,98004,47.6354,-122.221,3020,20666
12680,925069123,20150318T000000,590000.0,3,1.0,1610,58370,1.0,0,0,3,7,1610,0,1978,0,98053,47.6718,-122.044,2510,58127
11553,4031700030,20150410T000000,299999.0,3,2.5,2380,9719,2.0,0,0,3,8,2380,0,2001,0,98001,47.2932,-122.283,2830,11505
12359,8078550320,20150326T000000,290000.0,3,2.0,1260,7346,1.0,0,0,3,7,1260,0,1987,0,98031,47.4034,-122.176,1460,7363
5571,2783100050,20150121T000000,334000.0,3,1.75,1400,7405,1.0,0,0,3,7,1400,0,1961,0,98133,47.7569,-122.334,1820,7440
6908,1430800279,20150327T000000,469000.0,4,1.75,2960,11347,1.0,0,0,4,8,1570,1390,1946,0,98166,47.4738,-122.353,1660,8911
13926,4222200120,20150205T000000,240000.0,3,2.0,1460,7526,1.0,0,0,3,7,1460,0,1968,0,98003,47.3463,-122.304,1580,7526
14850,9830200230,20150120T000000,389000.0,2,1.75,1160,4848,2.0,0,1,4,7,1160,0,1949,0,98118,47.542,-122.265,1990,7440
12206,3964400160,20141118T000000,540000.0,3,1.75,1680,4240,1.5,0,0,4,7,1680,0,1926,0,98144,47.5745,-122.311,1460,4240
8510,7882900120,20140507T000000,230000.0,3,2.5,1920,9180,2.0,0,0,3,8,1920,0,1988,0,98055,47.4818,-122.231,1930,7252
18975,1778360150,20140620T000000,1240000.0,7,5.5,6630,13782,2.0,0,0,3,10,4930,1700,2004,0,98006,47.5399,-122.118,4470,8639
17498,2464400280,20150504T000000,710000.0,4,3.5,2850,2910,2.0,0,2,3,8,1970,880,1905,1996,98115,47.6855,-122.321,1460,3880
19989,1725059330,20150327T000000,1100000.0,4,2.5,2570,9470,2.0,0,0,3,9,2570,0,2006,0,98033,47.6548,-122.19,2570,10663
11387,323059208,20140603T000000,320000.0,3,2.0,1880,10758,1.0,0,0,5,6,940,940,1952,0,98059,47.5091,-122.144,2060,21000
20902,7852120120,20140620T000000,725000.0,3,3.5,3690,8837,2.0,0,0,3,10,3690,0,2001,0,98065,47.5402,-121.876,3690,9585
19881,2526059225,20150123T000000,952990.0,4,2.75,3550,6558,2.0,0,0,3,9,3550,0,2013,0,98052,47.7076,-122.115,3140,5617
19546,442000175,20150331T000000,515000.0,2,1.0,1150,5664,1.0,0,0,3,7,870,280,1948,0,98115,47.6894,-122.284,1380,5664
866,3955900830,20150427T000000,467000.0,3,2.5,3460,6590,2.0,0,0,3,7,3460,0,2001,0,98056,47.4802,-122.188,2490,6312
15467,1929300305,20140623T000000,1220000.0,4,3.75,3520,3944,1.5,0,0,5,8,2200,1320,1913,0,98109,47.6424,-122.348,2310,4725
8981,1498303700,20140822T000000,780000.0,5,2.0,2880,12000,2.0,0,0,3,8,2880,0,1921,0,98144,47.5861,-122.295,1720,5000
9572,5589300205,20140805T000000,274000.0,5,1.0,1680,9383,1.0,0,0,3,7,1400,280,1929,0,98155,47.7523,-122.311,1680,9458
8009,3723800097,20141211T000000,476500.0,4,1.75,1670,10200,1.0,0,0,3,7,1390,280,1953,0,98118,47.5524,-122.267,1720,6860
18930,2979800762,20140904T000000,365000.0,3,2.5,1484,1761,3.0,0,0,3,7,1484,0,2003,0,98115,47.6844,-122.317,1484,4320
15408,2133010290,20140724T000000,398000.0,4,2.5,2050,14724,2.0,0,0,3,7,2050,0,1989,0,98019,47.73,-121.969,1920,12841
15995,7625700305,20140605T000000,564000.0,3,1.75,1980,6250,1.0,0,1,5,7,1090,890,1910,0,98136,47.554,-122.385,1980,6250
8552,3972900195,20140916T000000,315000.0,3,1.0,1390,8333,1.0,0,0,3,7,1390,0,1982,0,98155,47.7652,-122.31,1320,7090
7143,1099600010,20140612T000000,210000.0,4,1.5,1130,7840,1.0,0,0,4,7,1130,0,1970,0,98023,47.2986,-122.377,1690,7840
15799,2824069180,20140806T000000,385000.0,4,1.75,1800,10890,1.5,0,0,4,6,1800,0,1912,0,98027,47.5312,-122.04,1530,9818
11806,9432750070,20140808T000000,512000.0,4,2.5,2550,17209,2.0,0,0,3,9,2550,0,1996,0,98059,47.4836,-122.136,2840,12560
14804,8856960540,20140620T000000,330000.0,3,2.25,1860,11227,2.0,0,0,3,7,1860,0,1995,0,98038,47.3879,-122.031,1820,8800
1303,3380900125,20140527T000000,360000.0,3,1.0,1570,9467,1.0,0,0,3,7,1570,0,1954,0,98177,47.7683,-122.359,1570,9100
19859,8895800200,20141017T000000,1100000.0,4,2.75,3590,5625,2.0,0,0,3,10,3590,0,2012,0,98052,47.6959,-122.133,3590,5625
18765,3009800015,20150422T000000,502501.0,2,1.0,1100,4750,1.0,0,0,3,7,1100,0,1946,0,98116,47.5772,-122.381,1830,4750
6972,2141300080,20150424T000000,707000.0,5,2.5,3050,13212,1.0,0,0,4,8,1590,1460,1975,0,98006,47.5596,-122.142,2550,10826
18803,126049231,20140516T000000,445000.0,3,3.0,1970,24318,1.0,0,0,3,8,1970,0,2010,0,98028,47.7651,-122.246,2150,14695
3302,8805400090,20140513T000000,289000.0,3,1.0,1090,7315,1.0,0,0,5,6,1090,0,1981,0,98056,47.494,-122.165,1090,5800
1253,8650000070,20140808T000000,495000.0,5,2.75,2630,10165,1.0,0,0,4,8,1690,940,1976,0,98027,47.5196,-122.049,2440,10165
21301,1438000170,20140822T000000,612995.0,5,3.5,3240,6919,2.0,0,0,3,8,2760,480,2014,0,98059,47.4779,-122.122,2970,5690
10660,5536500200,20140918T000000,730000.0,5,3.5,3760,4857,2.0,0,3,3,9,2820,940,2004,0,98072,47.7398,-122.167,3000,5693
14420,7575610760,20150507T000000,290000.0,3,2.25,1620,7772,2.0,0,0,4,8,1620,0,1988,0,98003,47.3521,-122.302,1710,6455
11420,7202290320,20141024T000000,440500.0,3,2.5,1600,3172,2.0,0,0,3,7,1600,0,2002,0,98053,47.6868,-122.042,1690,3698
17768,9320990120,20140703T000000,345000.0,4,2.5,2040,5523,2.0,0,0,3,7,2040,0,1999,0,98148,47.432,-122.328,1720,6646
9595,114700150,20141114T000000,236000.0,3,1.75,1560,10919,1.0,0,0,3,7,1560,0,1975,0,98023,47.2917,-122.366,1730,10919
5573,3080000005,20150417T000000,181000.0,2,1.0,1310,4000,1.0,0,0,3,7,950,360,1942,0,98144,47.5798,-122.306,1310,4000
13581,5101406375,20150319T000000,580000.0,3,1.75,1950,10633,1.0,0,0,3,7,1250,700,1978,0,98125,47.7019,-122.313,1290,6380
7689,7522700110,20140624T000000,258000.0,3,1.0,1490,7435,1.0,0,0,3,7,1120,370,1969,0,98198,47.368,-122.314,1490,7530
13288,6145601312,20141029T000000,322000.0,3,3.25,1380,1225,3.0,0,0,3,7,1380,0,2000,0,98133,47.7035,-122.351,1380,1704
11259,3629921000,20141121T000000,950000.0,4,2.5,3700,7051,2.0,0,0,3,11,3700,0,2006,0,98029,47.5427,-121.995,3580,6175
16466,3905090130,20140717T000000,658100.0,4,2.5,2430,8509,2.0,0,0,3,9,2430,0,1992,0,98029,47.5714,-121.991,2760,8509
20191,7853350170,20140516T000000,675000.0,5,2.5,3200,6455,2.0,0,0,3,9,3200,0,2009,0,98065,47.5446,-121.862,3290,7924
13007,9264920620,20141209T000000,330000.0,4,2.25,2440,8098,2.0,0,0,3,8,2440,0,1983,0,98023,47.3126,-122.346,2110,7911
11146,5560000640,20140619T000000,232500.0,3,1.0,1320,8450,1.0,0,0,3,6,880,440,1961,0,98023,47.3278,-122.337,1320,8450
5914,5021900779,20150404T000000,785000.0,3,2.0,1600,9638,1.0,0,0,5,7,1600,0,1952,0,98040,47.5753,-122.224,1800,11400
3679,6072100490,20141204T000000,527500.0,4,2.25,2270,8480,1.0,0,0,5,8,1310,960,1973,0,98006,47.5448,-122.174,1910,9050
17699,7215730930,20150112T000000,500000.0,3,2.5,1650,4648,2.0,0,0,3,8,1650,0,2001,0,98075,47.5968,-122.015,1800,5637
20945,2568200120,20141215T000000,730000.0,5,2.75,2870,6593,2.0,0,0,3,9,2870,0,2006,0,98052,47.7075,-122.102,3150,6593
4865,7205000080,20141201T000000,268000.0,3,1.75,1370,10050,1.0,0,1,4,7,1370,0,1966,0,98023,47.3338,-122.341,1720,10050
9437,9286750100,20140610T000000,375500.0,3,1.5,1530,7200,1.0,0,0,3,8,1530,0,1975,0,98155,47.7691,-122.297,2150,7216
3861,1118001295,20141203T000000,2200000.0,4,3.0,3540,11098,2.0,0,0,3,10,3000,540,1940,0,98112,47.634,-122.288,3430,8214
20699,629650030,20150312T000000,317500.0,4,2.5,2233,6025,2.0,0,0,3,7,2233,0,2012,0,98001,47.2599,-122.256,1544,6036
3327,2473250850,20140716T000000,318500.0,4,2.0,1780,7350,1.0,0,0,5,7,900,880,1974,0,98058,47.4562,-122.158,1480,7350
12295,3738000070,20150309T000000,1712750.0,5,2.5,2660,6572,1.0,0,0,5,9,1960,700,1959,0,98039,47.6176,-122.223,3960,14595
3053,1150001270,20140724T000000,716000.0,3,2.5,2270,7866,1.0,0,0,4,10,2270,0,1988,0,98029,47.5622,-122.022,2580,8132
4169,2946001645,20140505T000000,232000.0,2,1.0,1200,8063,1.0,0,0,4,6,1200,0,1958,0,98198,47.4204,-122.324,1200,7500
10252,3342100160,20141009T000000,510000.0,3,3.0,1845,5100,2.0,0,2,5,8,1845,0,1947,0,98056,47.5204,-122.208,2100,7650
19246,7016100120,20140612T000000,440000.0,3,2.75,1560,7392,1.0,0,0,5,7,1030,530,1972,0,98011,47.7382,-122.182,1870,7520
20376,3304300380,20150108T000000,600000.0,5,2.75,3380,8179,2.0,0,0,3,9,3380,0,2011,0,98059,47.4827,-122.135,2840,8179
750,3432500200,20150409T000000,329999.0,3,1.0,1150,6908,1.0,0,0,3,6,800,350,1952,0,98155,47.7447,-122.313,1150,6908
19260,3276940100,20140522T000000,1000000.0,4,3.0,4260,18687,2.0,0,0,3,11,4260,0,1996,0,98075,47.5874,-121.982,3490,16772
12337,3754500566,20141120T000000,749950.0,4,2.5,2370,2971,2.0,0,2,3,9,2080,290,2008,0,98034,47.7064,-122.224,2970,7500
8050,7853301130,20150505T000000,499000.0,4,2.25,2440,5000,2.0,0,0,3,7,2440,0,2007,0,98065,47.5407,-121.89,2440,5212
10361,1081330060,20140813T000000,375000.0,4,2.25,2100,12738,2.0,0,0,4,8,2100,0,1975,0,98059,47.4698,-122.118,2000,12090
13904,3348401490,20140630T000000,265000.0,2,2.0,1860,10856,1.0,0,0,3,8,1260,600,1952,0,98178,47.4989,-122.265,1250,10008
9346,952000495,20150402T000000,598000.0,4,2.5,2420,5118,1.5,0,2,5,7,1550,870,1926,0,98126,47.5671,-122.378,1740,5750
9906,3546000340,20141008T000000,192500.0,3,1.75,1420,7205,1.0,0,0,3,7,1420,0,1986,0,98030,47.3555,-122.175,1690,7405
7323,2202500290,20140502T000000,435000.0,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,1954,0,98006,47.5746,-122.135,1260,8942
955,5489200435,20140904T000000,550000.0,4,3.0,2670,5000,2.0,0,2,3,7,2670,0,1916,1978,98126,47.5784,-122.377,2300,5000
2585,1328300810,20150330T000000,347500.0,4,2.75,2290,7000,2.0,0,0,3,8,2290,0,1977,0,98058,47.4442,-122.129,2000,7200
231,2424000060,20140616T000000,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0,98059,47.5218,-122.164,2280,15347
7240,1924069071,20140729T000000,485000.0,5,1.75,2140,43124,1.0,0,2,4,7,1220,920,1962,0,98027,47.5516,-122.085,2520,14677
17771,3530430100,20140815T000000,187000.0,2,1.75,1050,2926,1.0,0,0,4,8,1050,0,1974,0,98198,47.3811,-122.317,1150,3802
7536,1860600535,20141220T000000,1320000.0,4,3.0,2120,3600,2.0,0,3,4,8,1830,290,1908,1996,98119,47.6344,-122.369,2120,3600
2875,1868901690,20150505T000000,600000.0,3,1.75,2040,5000,1.5,0,0,3,7,1780,260,1924,0,98115,47.6756,-122.299,1690,5000
5462,7501000080,20141121T000000,845800.0,4,3.5,3020,12750,2.0,0,0,3,10,3020,0,1990,0,98033,47.6524,-122.184,3120,14351
18250,7202340530,20150410T000000,498000.0,3,2.5,1690,4088,2.0,0,0,3,7,1690,0,2004,0,98053,47.6779,-122.034,1950,4088
12177,7010700550,20141114T000000,595000.0,3,2.5,2030,5100,2.0,0,0,3,7,2030,0,2008,0,98199,47.6594,-122.397,1790,4380
2421,1383500070,20150210T000000,525000.0,4,2.5,2303,16801,2.0,0,0,3,8,2303,0,1995,0,98019,47.7266,-121.966,2080,14013
3883,2997800076,20141209T000000,589950.0,3,2.75,1670,1350,3.0,0,0,3,9,1350,320,2014,0,98116,47.5763,-122.408,1520,4800
5038,4388000460,20141014T000000,195000.0,3,1.0,1070,7615,1.0,0,0,4,7,1070,0,1969,0,98023,47.3189,-122.373,1240,6906
4474,5701700011,20140523T000000,1050000.0,3,4.0,4380,42769,2.0,0,0,5,11,4380,0,1983,0,98052,47.7167,-122.109,3630,35425
4743,31000165,20140911T000000,1490000.0,5,3.5,3620,7821,2.0,0,2,3,10,2790,830,1958,2010,98040,47.5738,-122.215,2690,9757
19774,8091670070,20140804T000000,328000.0,4,2.5,1850,5388,2.0,0,0,3,8,1850,0,2009,0,98038,47.3494,-122.041,2140,5086
17723,7576700150,20141001T000000,1325000.0,3,2.25,2360,5504,2.0,0,0,4,8,2080,280,1913,0,98122,47.617,-122.288,2840,5470
21284,9521100029,20140716T000000,716000.0,3,3.0,1660,1849,3.0,0,0,3,9,1660,0,2013,0,98103,47.6649,-122.353,1660,3300
14590,6388930620,20140710T000000,657000.0,4,2.5,2640,25038,2.0,0,0,4,8,2640,0,1995,0,98056,47.5277,-122.174,2630,16668
18578,2492201005,20140708T000000,325000.0,2,1.0,810,4080,1.0,0,0,4,6,810,0,1941,0,98126,47.5337,-122.379,1400,4080
6588,7626200280,20141002T000000,425000.0,2,1.0,1170,5000,1.0,0,0,4,7,1030,140,1920,0,98136,47.5449,-122.388,1170,5850
12954,3331001165,20140926T000000,305000.0,3,1.0,820,5150,1.0,0,0,5,6,820,0,1918,0,98118,47.5514,-122.284,1100,5150
9584,9320990110,20150409T000000,340000.0,3,2.5,1720,4120,2.0,0,0,3,7,1720,0,1999,0,98148,47.4319,-122.328,1720,5544
11673,46100350,20140630T000000,1730000.0,5,3.5,5000,26540,2.0,0,3,3,10,3410,1590,2008,0,98040,47.5665,-122.21,3360,17398
6636,226039316,20140603T000000,941500.0,5,3.5,3490,9680,2.0,0,4,3,9,2460,1030,1980,0,98177,47.7757,-122.391,3080,13489
5436,7301300050,20141119T000000,375000.0,3,2.5,1930,6180,1.0,0,0,3,7,1330,600,1961,0,98155,47.7481,-122.327,1940,6180
6353,2212900920,20140722T000000,215000.0,4,1.75,1610,9652,1.0,0,0,5,7,1610,0,1969,0,98042,47.3281,-122.135,1220,9800
11071,646500070,20141106T000000,420000.0,3,1.0,1060,7638,1.0,0,0,5,7,1060,0,1966,0,98007,47.5941,-122.142,1470,8097
19443,3345700215,20140620T000000,595000.0,3,2.75,3290,22649,2.0,0,0,4,8,3290,0,1993,0,98056,47.5241,-122.193,2750,6119
12493,1921069101,20150508T000000,399000.0,3,1.75,2170,73616,1.0,0,0,3,7,2170,0,2008,0,98092,47.2881,-122.086,1710,297514
5740,2597000006,20150309T000000,347500.0,3,1.5,1180,8353,1.0,0,0,3,7,1180,0,1960,0,98155,47.7652,-122.274,1710,8748
6078,2781100080,20141210T000000,438900.0,4,2.5,2740,5700,2.0,0,0,3,9,2740,0,2006,0,98038,47.3535,-122.026,3010,5281
266,3438500192,20140929T000000,285000.0,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1954,0,98106,47.5544,-122.358,1130,6350
21042,1389600040,20141226T000000,255000.0,4,2.5,1987,6000,2.0,0,0,3,7,1987,0,2011,0,98001,47.2679,-122.255,1880,9589
2322,2211700160,20140512T000000,450000.0,3,1.5,1770,17208,1.0,0,0,3,8,1160,610,1959,0,98006,47.5659,-122.117,2450,17118
7817,1311400120,20140801T000000,160000.0,3,1.75,1610,7392,1.0,0,0,4,7,1610,0,1964,0,98001,47.3413,-122.28,1450,7392
7827,3586500620,20140814T000000,685000.0,4,2.5,2650,25248,1.0,0,2,3,9,2330,320,1954,0,98177,47.7537,-122.373,3020,23135
8035,2781250900,20140620T000000,218000.0,2,2.0,1310,2841,2.0,0,0,3,6,1310,0,2004,0,98038,47.3502,-122.022,1360,2550
9817,4365200520,20150312T000000,490000.0,3,2.25,1410,7740,1.0,0,0,5,6,1410,0,1923,0,98126,47.523,-122.371,1220,7740
5975,7282300095,20140709T000000,295000.0,2,1.0,800,6500,1.0,0,0,4,6,800,0,1953,0,98133,47.7621,-122.358,1220,7000
7154,9558050170,20140513T000000,475000.0,4,2.5,3740,8700,1.0,0,0,3,10,2260,1480,2004,0,98058,47.4587,-122.117,2650,6333
20694,6371000079,20140714T000000,575000.0,4,2.25,2070,1230,3.0,0,0,3,9,1500,570,2013,0,98116,47.5775,-122.41,1569,4802
20718,8850000517,20140731T000000,480000.0,3,2.5,1590,1431,2.0,0,0,3,8,1060,530,2010,0,98144,47.5893,-122.309,1620,1548
15774,8698600080,20140910T000000,265000.0,5,2.75,2920,5250,1.5,0,0,5,7,1800,1120,1911,0,98002,47.3072,-122.221,1220,5250
1650,9353300140,20140618T000000,284950.0,3,1.0,990,10723,1.0,0,0,5,7,990,0,1960,0,98059,47.4887,-122.133,1460,10723
20038,3880900236,20140822T000000,455000.0,2,1.5,910,966,2.0,0,0,3,8,820,90,2006,0,98119,47.627,-122.361,2740,6400
20186,123039376,20140820T000000,535000.0,4,2.75,2360,15100,1.0,0,0,3,8,2360,0,2014,0,98146,47.5117,-122.365,1440,13346
15305,1565600130,20140821T000000,275000.0,5,1.75,2180,9178,1.0,0,0,3,7,1140,1040,1963,0,98188,47.4364,-122.28,2140,9261
7690,5253300243,20150429T000000,415000.0,4,2.0,1960,10559,2.0,0,0,4,7,1960,0,1955,0,98133,47.7494,-122.337,1580,7769
2021,2641400160,20141205T000000,340000.0,4,2.5,2380,7850,2.0,0,0,3,8,2380,0,1995,0,98055,47.4356,-122.201,1940,7334
3628,2568800121,20140911T000000,512500.0,4,1.75,1540,8311,1.0,0,0,4,7,1540,0,1950,0,98125,47.7046,-122.293,1890,7996
9502,3734900110,20150204T000000,230000.0,2,0.75,890,19703,1.0,0,0,3,6,890,0,1934,0,98045,47.4922,-121.783,1270,9800
17622,2267000485,20141201T000000,635000.0,3,1.5,2240,5300,1.0,0,0,5,7,1120,1120,1955,0,98117,47.6927,-122.395,1740,7110
